IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.126.240,2052,2052,false,SIN,Asia Pacific,Singapore,22,12.11
47.245.56.50,8880,8880,false,NRT,Asia Pacific,Tokyo,82,12.10
8.218.8.142,2095,2095,false,HKG,Asia Pacific,Hong Kong,33,12.10
47.245.37.12,2083,2083,true,NRT,Asia Pacific,Tokyo,220,12.10
8.219.99.8,80,80,false,SIN,Asia Pacific,Singapore,7,12.10
47.245.59.243,2087,2087,true,NRT,Asia Pacific,Tokyo,126,12.10
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,4,12.10
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,13,12.09
8.219.178.101,2052,2052,false,SIN,Asia Pacific,Singapore,10,12.09
47.242.79.71,443,443,true,HKG,Asia Pacific,Hong Kong,74,12.09
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,72,12.08
47.91.15.247,2053,2053,true,NRT,Asia Pacific,Tokyo,167,12.08
47.245.58.250,80,80,false,NRT,Asia Pacific,Tokyo,81,12.08
8.219.178.9,2096,2096,true,SIN,Asia Pacific,Singapore,31,12.08
8.219.178.225,2095,2095,false,SIN,Asia Pacific,Singapore,7,12.07
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,81,12.07
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,14,12.07
8.219.67.133,2096,2096,true,SIN,Asia Pacific,Singapore,44,12.07
8.219.55.31,2082,2082,false,NRT,Asia Pacific,Tokyo,84,12.07
47.74.13.239,2052,2052,false,NRT,Asia Pacific,Tokyo,77,12.07
8.219.126.3,2052,2052,false,SIN,Asia Pacific,Singapore,17,12.07
47.236.29.235,2083,2083,true,SIN,Asia Pacific,Singapore,62,12.06
47.245.30.65,80,80,false,NRT,Asia Pacific,Tokyo,78,12.06
47.245.38.233,80,80,false,NRT,Asia Pacific,Tokyo,85,12.06
8.219.206.180,2082,2082,false,SIN,Asia Pacific,Singapore,5,12.06
8.219.235.164,2053,2053,true,SIN,Asia Pacific,Singapore,110,12.06
47.74.9.174,2087,2087,true,NRT,Asia Pacific,Tokyo,166,12.06
47.74.13.66,8080,8080,false,NRT,Asia Pacific,Tokyo,78,12.06
8.219.238.145,80,80,false,SIN,Asia Pacific,Singapore,40,12.05
8.219.83.201,2087,2087,true,SIN,Asia Pacific,Singapore,132,12.05
8.219.70.117,2087,2087,true,SIN,Asia Pacific,Singapore,96,12.05
47.245.41.169,2095,2095,false,NRT,Asia Pacific,Tokyo,85,12.05
47.236.172.41,2053,2053,true,SIN,Asia Pacific,Singapore,82,12.05
8.218.18.132,2096,0,true,HKG,Asia Pacific,Hong Kong,53,12.04
8.219.100.155,2095,2095,false,SIN,Asia Pacific,Singapore,14,12.04
47.245.28.255,8443,8443,true,NRT,Asia Pacific,Tokyo,150,12.04
47.91.18.250,2052,2052,false,NRT,Asia Pacific,Tokyo,88,12.04
47.91.2.5,8880,8880,false,NRT,Asia Pacific,Tokyo,109,12.04
47.74.22.171,80,80,false,NRT,Asia Pacific,Tokyo,79,12.04
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,30,12.04
47.245.34.36,2082,2082,false,NRT,Asia Pacific,Tokyo,89,12.04
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,12.03
47.245.52.165,2053,2053,true,NRT,Asia Pacific,Tokyo,161,12.03
8.219.107.199,2096,2096,true,SIN,Asia Pacific,Singapore,152,12.03
8.219.140.63,443,443,true,SIN,Asia Pacific,Singapore,152,12.03
47.91.31.231,2096,2096,true,NRT,Asia Pacific,Tokyo,86,12.03
8.219.174.142,443,443,true,SIN,Asia Pacific,Singapore,128,12.02
47.236.145.180,2086,2086,false,SIN,Asia Pacific,Singapore,59,12.02
47.91.1.199,2052,2052,false,NRT,Asia Pacific,Tokyo,80,12.01
8.222.208.38,2052,2052,false,SIN,Asia Pacific,Singapore,17,12.01
47.236.189.173,2095,2095,false,SIN,Asia Pacific,Singapore,29,12.01
8.219.79.74,2096,2096,true,SIN,Asia Pacific,Singapore,81,12.01
47.245.10.77,2087,2087,true,NRT,Asia Pacific,Tokyo,189,12.01
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,129,12.01
47.245.31.0,2083,2083,true,NRT,Asia Pacific,Tokyo,176,12.01
47.236.164.215,8443,8443,true,SIN,Asia Pacific,Singapore,97,12.00
47.245.55.99,2087,2087,true,NRT,Asia Pacific,Tokyo,175,12.00
8.219.100.155,2086,2086,false,SIN,Asia Pacific,Singapore,15,12.00
8.219.63.193,2083,2083,true,SIN,Asia Pacific,Singapore,85,12.00
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,134,12.00
8.219.170.232,8080,8080,false,SIN,Asia Pacific,Singapore,5,11.99
47.245.32.215,2095,2095,false,NRT,Asia Pacific,Tokyo,82,11.99
8.219.213.133,8080,8080,false,SIN,Asia Pacific,Singapore,30,11.99
8.219.115.215,8880,8880,false,SIN,Asia Pacific,Singapore,11,11.99
47.236.19.51,80,80,false,SIN,Asia Pacific,Singapore,51,11.99
8.219.198.139,2086,2086,false,SIN,Asia Pacific,Singapore,11,11.99
47.74.3.2,2095,2095,false,NRT,Asia Pacific,Tokyo,88,11.98
47.245.37.94,80,80,false,NRT,Asia Pacific,Tokyo,83,11.98
47.236.116.208,2087,2087,true,SIN,Asia Pacific,Singapore,165,11.98
8.219.40.37,2086,2086,false,SIN,Asia Pacific,Singapore,10,11.98
8.222.227.191,8080,8080,false,SIN,Asia Pacific,Singapore,49,11.98
8.219.13.143,2095,2095,false,SIN,Asia Pacific,Singapore,10,11.98
8.219.213.133,2087,2087,true,SIN,Asia Pacific,Singapore,122,11.98
8.219.6.157,2082,2082,false,SIN,Asia Pacific,Singapore,4,11.97
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,22,11.97
